gene,src,dst,true_error
ACVR2A,Rest,Stim48hr,0.9464461
AIRE,Rest,Stim48hr,0.8149058
AKT3,Rest,Stim48hr,0.8572441
ANO9,Rest,Stim48hr,0.9345051
AP3M1,Rest,Stim48hr,0.9804319
ARHGAP27,Rest,Stim48hr,0.8255532
AVPR2,Rest,Stim48hr,0.98382455
BBS2,Rest,Stim48hr,0.8927229
BEGAIN,Rest,Stim48hr,0.77575004
BID,Rest,Stim48hr,0.9487404
SNHG32,Rest,Stim48hr,0.89486885
CCDC180,Rest,Stim48hr,0.88848114
CDKN2A,Rest,Stim48hr,0.95063883
CDYL,Rest,Stim48hr,0.90243024
COL9A2,Rest,Stim48hr,0.87635463
COX5B,Rest,Stim48hr,0.8625469
CRIPT,Rest,Stim48hr,0.9288093
CYP3A5,Rest,Stim48hr,0.86563015
DAP3,Rest,Stim48hr,0.9126914
DBX2,Rest,Stim48hr,0.9921633
