,mean_condition,mean_global,knn_coexpr_k25,ridge_embed,gene2vec_ridge,gene2vec_knn,geneformer_ridge,geneformer_knn,scgpt_ridge,scgpt_knn
mean_condition,1.0,0.9158434052237499,0.9313173899341026,0.9855151121058449,0.975487083594969,0.9314836803349077,0.9665962698047833,0.9313021913935134,0.9885683746469903,0.9268812887275626
mean_global,0.9158434052237497,1.0,0.8502643963969491,0.9030398408939893,0.8935651638979835,0.8542200253307571,0.8857238216618871,0.8556344197343773,0.9060033288076453,0.8527077649133172
knn_coexpr_k25,0.9313173899341024,0.8502643963969491,1.0,0.933860791673926,0.9174877416108901,0.8769942599400534,0.9098617680078179,0.8710716965147296,0.9287893606098487,0.8743493416708072
ridge_embed,0.9855151121058449,0.9030398408939891,0.9338607916739261,1.0,0.9695212414672217,0.9249321277743255,0.9615210829455948,0.9202203017693086,0.9821822814622158,0.9234848828508339
gene2vec_ridge,0.975487083594969,0.8935651638979835,0.9174877416108903,0.9695212414672217,1.0,0.9305459125353798,0.954993923538046,0.9122766663260927,0.974005807055638,0.9175260568502583
gene2vec_knn,0.9314836803349077,0.8542200253307572,0.8769942599400533,0.9249321277743255,0.9305459125353798,0.9999999999999999,0.9103998830767955,0.8724625560375233,0.9288936979620447,0.877725686251381
geneformer_ridge,0.9665962698047833,0.8857238216618871,0.9098617680078177,0.961521082945595,0.954993923538046,0.9103998830767955,1.0,0.91969482032251,0.9686634909922652,0.9120598225410846
geneformer_knn,0.9313021913935134,0.8556344197343773,0.8710716965147297,0.9202203017693086,0.9122766663260927,0.8724625560375233,0.9196948203225098,0.9999999999999997,0.9238125738268436,0.8689491984273805
scgpt_ridge,0.9885683746469903,0.9060033288076453,0.9287893606098487,0.9821822814622158,0.974005807055638,0.9288936979620447,0.9686634909922652,0.9238125738268437,1.0,0.9346037100600788
scgpt_knn,0.9268812887275626,0.8527077649133173,0.8743493416708072,0.9234848828508339,0.9175260568502583,0.877725686251381,0.9120598225410846,0.8689491984273805,0.9346037100600787,1.0
