,mean_condition,mean_global,knn_coexpr_k25,ridge_embed,gene2vec_ridge,gene2vec_knn,geneformer_ridge,geneformer_knn,scgpt_ridge,scgpt_knn
mean_condition,1.0,0.9032882763970447,0.9146561394109459,0.9811765973599321,0.9675276365147164,0.9146615566495089,0.9568667767290678,0.9150760211920609,0.984873398578277,0.9094512908005418
mean_global,0.9032882763970448,1.0,0.8256518964191929,0.8874578101462132,0.8753576374346225,0.8299491709391207,0.8667405592606957,0.8323979293558496,0.8913409691465528,0.8279706633270626
knn_coexpr_k25,0.9146561394109461,0.8256518964191929,1.0,0.91782595562386,0.8972181262667972,0.8507520542220224,0.8892384643205314,0.844118929740519,0.9112360677854898,0.8474941510160744
ridge_embed,0.9811765973599321,0.8874578101462133,0.9178259556238598,1.0,0.9601402800942916,0.9067208393830212,0.9509154450361453,0.9012551154607582,0.9770232015605863,0.9054753489504271
gene2vec_ridge,0.9675276365147164,0.8753576374346226,0.8972181262667972,0.9601402800942916,1.0,0.9131040871144274,0.9425040129392214,0.8911152634973408,0.9660413082031406,0.8977315391921712
gene2vec_knn,0.9146615566495089,0.8299491709391207,0.8507520542220224,0.9067208393830212,0.9131040871144274,1.0,0.8890258430470351,0.8459469747123652,0.9113962585930566,0.850794059381833
geneformer_ridge,0.9568667767290678,0.8667405592606957,0.8892384643205314,0.9509154450361451,0.9425040129392214,0.8890258430470354,1.0,0.9008032639971013,0.9599616095980948,0.8912165514493231
geneformer_knn,0.9150760211920609,0.8323979293558496,0.844118929740519,0.9012551154607582,0.8911152634973408,0.8459469747123652,0.9008032639971013,1.0,0.9055686883490338,0.8412923613911651
scgpt_ridge,0.984873398578277,0.8913409691465528,0.9112360677854898,0.9770232015605863,0.9660413082031406,0.9113962585930566,0.9599616095980948,0.9055686883490338,1.0,0.9189388673281983
scgpt_knn,0.9094512908005418,0.8279706633270627,0.8474941510160745,0.9054753489504271,0.8977315391921712,0.850794059381833,0.8912165514493231,0.841292361391165,0.9189388673281984,0.9999999999999999
