pert,mean_global_err,ridge_embed_err,knn_coexpr_k25_err,oracle_err,best_fixed_err
AARS,0.7304561932881674,1.518275777498881,0.7619367837905884,0.7304561932881674,0.7619367837905884
AMIGO3,0.5094606677691141,0.43727318445841473,0.7366379499435425,0.43727318445841473,0.7366379499435425
ARHGAP22,0.530184805393219,0.5404071013132731,0.5373334685961405,0.530184805393219,0.5373334685961405
ASCC3,0.8105954726537069,0.6508293151855469,0.8059596220652262,0.6508293151855469,0.8059596220652262
ATF4,0.6603135665257772,1.3226573864618938,1.0468236207962036,0.6603135665257772,1.0468236207962036
ATP5B,0.582603653271993,0.6724231839179993,0.4964768687884013,0.4964768687884013,0.4964768687884013
CAD,0.8823880751927694,0.9029484788576762,0.8058297038078308,0.8058297038078308,0.8058297038078308
CARS,0.7870513200759888,0.3028239607810974,0.44588255882263184,0.3028239607810974,0.44588255882263184
CCND3,0.8506154616673788,0.6272640029589335,0.6395688652992249,0.6272640029589335,0.6395688652992249
CHERP,0.7126339077949524,0.8534778356552124,0.7264556686083475,0.7126339077949524,0.7264556686083475
COPB1,0.46251267194747925,0.5142350196838379,0.4738835096359253,0.46251267194747925,0.4738835096359253
COPZ1,0.5757144888242086,0.7040936152140299,0.638736625512441,0.5757144888242086,0.638736625512441
DAD1,0.5844465295473734,0.4955826997756958,0.361935297648112,0.361935297648112,0.361935297648112
DARS,0.4867586890856425,0.5859161019325256,0.6501708825429281,0.4867586890856425,0.6501708825429281
DDOST,0.6165004968643188,0.8438709179560343,0.364906907081604,0.364906907081604,0.364906907081604
DDRGK1,0.5522165695826212,0.39335588614145917,0.29029738903045654,0.29029738903045654,0.29029738903045654
DERL2,0.44732751448949176,0.5956935882568359,0.3437685966491699,0.3437685966491699,0.3437685966491699
DHDDS,0.7132914066314697,0.7511383891105652,0.6458390553792318,0.6458390553792318,0.6458390553792318
DNAJC19,0.5818289915720621,0.2920903166135152,0.37455203135808307,0.2920903166135152,0.37455203135808307
EIF2AK3,0.32866066694259644,0.42381832997004193,0.3763924439748128,0.32866066694259644,0.3763924439748128
EIF2B2,0.5688316623369852,0.6903753081957499,0.5270572702089945,0.5270572702089945,0.5270572702089945
EIF2B3,0.6591004331906637,0.14631023009618124,0.5371196269989014,0.14631023009618124,0.5371196269989014
EIF2B4,0.5316698352495829,0.29953763882319134,0.2788659731547038,0.2788659731547038,0.2788659731547038
EIF2S1,0.8091763655344645,0.3655161460240682,0.7027576367060343,0.3655161460240682,0.7027576367060343
ERN1,0.47021369139353436,0.3329564531644185,0.21807193756103516,0.21807193756103516,0.21807193756103516
FARSB,0.6617436011632284,0.14919479688008627,0.274571696917216,0.14919479688008627,0.274571696917216
FECH,0.5110379656155905,0.704693595568339,0.48984454075495404,0.48984454075495404,0.48984454075495404
GBF1,0.3837976058324178,0.26934540271759033,0.32029954592386883,0.26934540271759033,0.32029954592386883
GMPPB,0.6546059449513754,0.3176225225130717,0.7624079585075378,0.3176225225130717,0.7624079585075378
GNPNAT1,0.644438902537028,1.24802561601003,0.717001716295878,0.644438902537028,0.717001716295878
HARS,0.8302177786827087,0.5540366768836975,0.7909018397331238,0.5540366768836975,0.7909018397331238
HSD17B12,0.4980451862017314,0.5213231245676676,0.5456456542015076,0.4980451862017314,0.5456456542015076
HSPA5,0.7325474222501119,1.0001028378804524,1.041326920191447,0.7325474222501119,1.041326920191447
HSPA9,0.8144683837890625,0.25025858481725055,0.5667514204978943,0.25025858481725055,0.5667514204978943
HYOU1,0.6556990544001261,0.19269176324208578,0.17381848891576132,0.17381848891576132,0.17381848891576132
IARS2,0.7406030694643656,0.9740002552668253,0.7694350481033325,0.7406030694643656,0.7694350481033325
IDH3A,0.581055760383606,0.9170759717623392,0.5989513397216797,0.581055760383606,0.5989513397216797
IER3IP1,0.5855088829994202,0.4112688899040222,0.5850655833880106,0.4112688899040222,0.5850655833880106
KCTD16,0.5981565515200297,0.30850929021835327,0.6321020523707072,0.30850929021835327,0.6321020523707072
MANF,0.6576225757598877,0.5810011029243469,0.19075624148050943,0.19075624148050943,0.19075624148050943
MARS,0.8235535224278768,0.5530312259991964,0.694125215212504,0.5530312259991964,0.694125215212504
MRGBP,0.6715486844380697,0.6497913797696432,0.707718292872111,0.6497913797696432,0.707718292872111
MRPL39,0.447187344233195,0.7801152070363363,0.5691798130671183,0.447187344233195,0.5691798130671183
MTHFD1,0.7013744513193766,1.0118950208028157,0.7063291072845459,0.7013744513193766,0.7063291072845459
NEDD8,0.605258584022522,0.8612140218416849,0.6514657934506735,0.605258584022522,0.6514657934506735
OST4,0.5723567008972168,0.5707202355066935,0.6321584781010946,0.5707202355066935,0.6321584781010946
