pert,mean_global_err,ridge_embed_err,knn_coexpr_k25_err,oracle_err,best_fixed_err
AHR,0.24802792072296143,0.44479318459828693,0.2652110656102498,0.24802792072296143,0.24802792072296143
ARID1A,0.20565207799275717,0.37904858589172363,0.2180785338083903,0.20565207799275717,0.20565207799275717
ARRDC3,0.29834187030792236,0.40714701016743976,0.32504934072494507,0.29834187030792236,0.29834187030792236
ATL1,0.19632895787556967,0.1790364384651184,0.19023160139719644,0.1790364384651184,0.19632895787556967
BAK1,1.2590874433517456,1.2502408027648926,1.22782297929128,1.22782297929128,1.2590874433517456
BCL2L11,0.9638859033584595,0.9994980692863464,0.9542933503786722,0.9542933503786722,0.9638859033584595
BCORL1,0.607128361860911,0.6223887006441752,0.596062699953715,0.596062699953715,0.607128361860911
BPGM,0.527828574180603,0.5909199913342794,0.5574095447858175,0.527828574180603,0.527828574180603
CBFA2T3,0.4510941704114278,0.31123167276382446,0.44692673285802204,0.31123167276382446,0.4510941704114278
CBL,0.3786097764968872,0.36132146914800006,0.26845123370488483,0.26845123370488483,0.3786097764968872
CDKN1A,0.25373613834381104,1.4632103443145752,0.2996728817621867,0.25373613834381104,0.25373613834381104
CDKN1B,0.1873269478480021,0.23988906542460123,0.19766793648401895,0.1873269478480021,0.1873269478480021
CDKN1C,0.23550895849863687,0.41786638895670575,0.22825352350870767,0.22825352350870767,0.23550895849863687
CEBPA,0.3664977749188741,0.15174816052118936,0.4259538451830546,0.15174816052118936,0.3664977749188741
CEBPB,0.3020370999972026,0.4643380244572957,0.3147956331570943,0.3020370999972026,0.3020370999972026
CEBPE,0.3992315928141276,0.18212034304936728,0.28798745075861615,0.18212034304936728,0.3992315928141276
CELF2,0.5916901230812073,0.9960060119628906,0.6950177947680155,0.5916901230812073,0.5916901230812073
CITED1,0.14199292659759521,0.2124526302019755,0.1550330917040507,0.14199292659759521,0.14199292659759521
CKS1B,0.3099876642227173,0.8861763079961141,0.3213300903638204,0.3099876642227173,0.3099876642227173
