seed,predictor,l2,pearson_delta
42,mean_condition,0.14383704960346222,0.2963513135910034
42,mean_global,0.14594820141792297,0.25110578536987305
42,knn_coexpr_k25,0.14691685140132904,0.2522067129611969
42,ridge_embed,0.14428576827049255,0.28967633843421936
42,mlp_decoder,0.15979821979999542,0.13774560391902924
42,no_change,0.1507604420185089,
43,mean_condition,0.14384008944034576,0.2963356673717499
43,mean_global,0.14595003426074982,0.2510868012905121
43,knn_coexpr_k25,0.14694225788116455,0.2516569495201111
43,ridge_embed,0.14428859949111938,0.2895267605781555
43,mlp_decoder,0.15982908010482788,0.13855980336666107
43,no_change,0.1507604569196701,
44,mean_condition,0.14383919537067413,0.296324759721756
44,mean_global,0.14594997465610504,0.2510751187801361
44,knn_coexpr_k25,0.14692647755146027,0.25234076380729675
44,ridge_embed,0.14431102573871613,0.28935107588768005
44,mlp_decoder,0.15979912877082825,0.13833455741405487
44,no_change,0.1507604569196701,
