predictor,pearson_delta_all,pearson_de_delta_top20
mean_condition,0.18185233076413473,0.2604937156041463
scgpt_ridge,0.17415553331375122,0.26110345125198364
ridge_embed,0.17114127178986868,0.25966886679331463
mean_global,0.1633362720410029,0.22426927586396536
gene2vec_ridge,0.1614390810330709,0.25636110703150433
geneformer_ridge,0.15196344753106436,0.25403884053230286
knn_coexpr_k25,0.12745027740796408,0.2418559988339742
gene2vec_knn,0.12680098911126456,0.24462094902992249
scgpt_knn,0.126626526316007,0.24410260717074075
geneformer_knn,0.11944795896609624,0.24605784813563028
no_change,,
