gene,gene_name,fold_seed42,fold_seed43,fold_seed44
ENSG00000121410,A1BG,3,1,4
ENSG00000175899,A2M,0,0,2
ENSG00000094914,AAAS,0,4,1
ENSG00000081760,AACS,1,2,2
ENSG00000103591,AAGAB,3,1,0
ENSG00000115977,AAK1,1,1,0
ENSG00000087884,AAMDC,3,1,0
ENSG00000131043,AAR2,3,4,1
ENSG00000124608,AARS2,2,1,3
ENSG00000266967,AARSD1,2,2,3
ENSG00000157426,AASDH,3,4,2
ENSG00000149313,AASDHPPT,3,1,1
ENSG00000008311,AASS,1,0,4
ENSG00000183044,ABAT,0,1,3
ENSG00000165029,ABCA1,2,2,3
ENSG00000107331,ABCA2,0,2,2
ENSG00000167972,ABCA3,1,2,3
ENSG00000154265,ABCA5,4,2,0
ENSG00000064687,ABCA7,3,2,1
ENSG00000085563,ABCB1,1,2,2
ENSG00000115657,ABCB6,2,0,0
ENSG00000131269,ABCB7,0,4,0
ENSG00000197150,ABCB8,2,1,4
ENSG00000150967,ABCB9,0,4,0
ENSG00000103222,ABCC1,3,2,3
ENSG00000124574,ABCC10,4,0,0
ENSG00000023839,ABCC2,4,4,3
ENSG00000108846,ABCC3,3,2,1
ENSG00000125257,ABCC4,1,4,1
ENSG00000114770,ABCC5,4,4,1
ENSG00000006071,ABCC8,0,3,2
ENSG00000173208,ABCD2,0,1,2
ENSG00000117528,ABCD3,1,1,1
ENSG00000119688,ABCD4,4,4,2
ENSG00000164163,ABCE1,2,1,1
ENSG00000033050,ABCF2,4,2,3
ENSG00000161204,ABCF3,0,4,1
ENSG00000160179,ABCG1,3,3,1
ENSG00000144827,ABHD10,1,2,0
ENSG00000106077,ABHD11,0,1,2
ENSG00000100997,ABHD12,4,3,1
ENSG00000139826,ABHD13,2,3,1
ENSG00000248487,ABHD14A,0,1,0
ENSG00000114779,ABHD14B,1,0,3
ENSG00000168792,ABHD15,4,4,0
ENSG00000204427,ABHD16A,2,4,0
ENSG00000183260,ABHD16B,1,1,4
ENSG00000129968,ABHD17A,2,3,2
ENSG00000107362,ABHD17B,2,0,0
ENSG00000164074,ABHD18,4,2,1
ENSG00000140526,ABHD2,0,3,0
ENSG00000158201,ABHD3,3,2,1
ENSG00000100439,ABHD4,4,0,2
ENSG00000011198,ABHD5,3,1,1
ENSG00000163686,ABHD6,3,3,4
ENSG00000127220,ABHD8,2,4,2
ENSG00000136754,ABI1,0,0,2
ENSG00000138443,ABI2,0,3,3
ENSG00000108798,ABI3,2,3,0
ENSG00000097007,ABL1,4,1,3
ENSG00000143322,ABL2,3,1,0
ENSG00000173210,ABLIM3,4,3,4
ENSG00000146386,ABRACL,0,0,4
ENSG00000163322,ABRAXAS1,1,2,2
ENSG00000165660,ABRAXAS2,0,1,0
ENSG00000146109,ABT1,0,2,3
ENSG00000114626,ABTB1,3,0,3
ENSG00000166016,ABTB2,1,1,1
ENSG00000060971,ACAA1,0,1,2
ENSG00000167315,ACAA2,4,2,1
ENSG00000278540,ACACA,0,2,2
ENSG00000076555,ACACB,3,0,3
ENSG00000111271,ACAD10,1,1,3
ENSG00000240303,ACAD11,2,2,1
ENSG00000151498,ACAD8,2,3,3
ENSG00000177646,ACAD9,3,3,0
ENSG00000117054,ACADM,3,1,3
ENSG00000122971,ACADS,3,2,2
ENSG00000196177,ACADSB,2,1,0
ENSG00000072778,ACADVL,1,0,4
ENSG00000072818,ACAP1,3,2,4
ENSG00000114331,ACAP2,4,1,3
ENSG00000131584,ACAP3,2,3,4
ENSG00000075239,ACAT1,1,4,0
ENSG00000120437,ACAT2,4,0,1
ENSG00000182827,ACBD3,1,4,0
ENSG00000181513,ACBD4,4,0,3
