dst,hit_q,base_rate,k_frac,k,precision_reliability,precision_magnitude,precision_random,gap_rel_minus_mag,gap_ci_lo,gap_ci_hi,gap_two_sided_sig,p_magnitude_below_chance
Stim48hr,0.5,0.5,0.05,78,0.59,0.372,0.5,0.2179,0.0385,0.359,True,0.013
Stim48hr,0.5,0.5,0.1,156,0.545,0.397,0.5,0.1474,0.0577,0.2692,True,0.004
Stim48hr,0.5,0.5,0.2,312,0.519,0.426,0.5,0.0929,0.0288,0.1699,True,0.002
Stim48hr,0.75,0.25,0.05,78,0.256,0.192,0.25,0.0641,-0.0516,0.2051,False,0.14
Stim48hr,0.75,0.25,0.1,156,0.256,0.199,0.25,0.0577,-0.0321,0.1538,False,0.069
Stim48hr,0.75,0.25,0.2,312,0.247,0.196,0.25,0.0513,-0.0096,0.1122,False,0.007
Stim48hr,0.9,0.1,0.05,78,0.103,0.064,0.1,0.0385,-0.0385,0.141,False,0.185
Stim48hr,0.9,0.1,0.1,156,0.135,0.058,0.1,0.0769,0.0256,0.141,True,0.035
Stim48hr,0.9,0.1,0.2,312,0.099,0.087,0.1,0.0128,-0.0256,0.0577,False,0.211
Stim8hr,0.5,0.5,0.05,82,0.561,0.488,0.5,0.0732,-0.061,0.2317,False,0.455
Stim8hr,0.5,0.5,0.1,165,0.539,0.467,0.5,0.0727,-0.0244,0.1758,False,0.206
Stim8hr,0.5,0.5,0.2,330,0.542,0.436,0.5,0.1061,0.0394,0.1727,True,0.006
Stim8hr,0.75,0.25,0.05,82,0.22,0.244,0.25,-0.0244,-0.1463,0.1098,False,0.505
Stim8hr,0.75,0.25,0.1,165,0.261,0.218,0.25,0.0424,-0.0424,0.1273,False,0.182
Stim8hr,0.75,0.25,0.2,330,0.27,0.209,0.25,0.0606,0.0,0.1182,False,0.03
Stim8hr,0.9,0.1,0.05,82,0.073,0.134,0.1,-0.061,-0.1585,0.0244,False,0.89
Stim8hr,0.9,0.1,0.1,165,0.079,0.115,0.1,-0.0364,-0.0909,0.0242,False,0.797
Stim8hr,0.9,0.1,0.2,330,0.106,0.121,0.1,-0.0152,-0.0516,0.0273,False,0.936
