symbol,category,source,present_in_library
AKT3,KEGG_TCR_SIGNALING,MSigDB KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY (M9904 hsa04660) c2.cp.kegg_legacy gsea-msigdb.org accessed 2026-07,True
RASGRP1,KEGG_TCR_SIGNALING,MSigDB KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY (M9904 hsa04660) c2.cp.kegg_legacy gsea-msigdb.org accessed 2026-07,True
CDK4,KEGG_TCR_SIGNALING,MSigDB KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY (M9904 hsa04660) c2.cp.kegg_legacy gsea-msigdb.org accessed 2026-07,True
PAK4,KEGG_TCR_SIGNALING,MSigDB KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY (M9904 hsa04660) c2.cp.kegg_legacy gsea-msigdb.org accessed 2026-07,True
VAV3,KEGG_TCR_SIGNALING,MSigDB KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY (M9904 hsa04660) c2.cp.kegg_legacy gsea-msigdb.org accessed 2026-07,True
NFAT5,KEGG_TCR_SIGNALING,MSigDB KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY (M9904 hsa04660) c2.cp.kegg_legacy gsea-msigdb.org accessed 2026-07,True
MALT1,KEGG_TCR_SIGNALING,MSigDB KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY (M9904 hsa04660) c2.cp.kegg_legacy gsea-msigdb.org accessed 2026-07,True
CHP1,KEGG_TCR_SIGNALING,MSigDB KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY (M9904 hsa04660) c2.cp.kegg_legacy gsea-msigdb.org accessed 2026-07,True
CHUK,KEGG_TCR_SIGNALING,MSigDB KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY (M9904 hsa04660) c2.cp.kegg_legacy gsea-msigdb.org accessed 2026-07,True
MAP3K8,KEGG_TCR_SIGNALING,MSigDB KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY (M9904 hsa04660) c2.cp.kegg_legacy gsea-msigdb.org accessed 2026-07,True
MAPK14,KEGG_TCR_SIGNALING,MSigDB KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY (M9904 hsa04660) c2.cp.kegg_legacy gsea-msigdb.org accessed 2026-07,True
CSF2,KEGG_TCR_SIGNALING,MSigDB KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY (M9904 hsa04660) c2.cp.kegg_legacy gsea-msigdb.org accessed 2026-07,True
CTLA4,KEGG_TCR_SIGNALING,MSigDB KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY (M9904 hsa04660) c2.cp.kegg_legacy gsea-msigdb.org accessed 2026-07,True
